CNPJ_Fundo,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 103,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 210,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 203,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 104,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 109,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 102,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 204,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 202,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 209,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 103,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-06-30,1,Imóveis para renda em construção,Unidade 201,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 204,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 202,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 102,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 203,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 201,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 104,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 109,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 210,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 209,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-09-30,1,Imóveis para renda em construção,Unidade 103,"Obras em fase de concretagem dos pilares, vigas e lajes do primeiro subsolo.",
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 204,Execução de blocos e vigas baldrames,
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 109,Execução de blocos e vigas baldrames,
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 103,Execução de blocos e vigas baldrames,
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 102,Execução de blocos e vigas baldrames,
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 210,Execução de blocos e vigas baldrames,
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 104,Execução de blocos e vigas baldrames,
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 209,Execução de blocos e vigas baldrames,
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 201,Execução de blocos e vigas baldrames,
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 203,Execução de blocos e vigas baldrames,
31.469.385/0001-64,2019-12-31,1,Imóveis para renda em construção,Unidade 202,Execução de blocos e vigas baldrames,
31.907.591/0001-09,2019-12-31,1,Imóveis para renda em construção,"Imóvel B, TERRENO FELTRINS",não Aplicavel,não Aplicavel
31.907.591/0001-09,2019-12-31,1,Imóveis para renda em construção,"Imóvel A, TERRENO FELTRINS",não Aplicavel,não Aplicavel
31.962.875/0001-06,2019-09-30,2,Imóveis para renda em construção,,,
31.962.875/0001-06,2019-12-31,2,Imóveis para renda em construção,,,
34.895.711/0001-93,2019-12-31,1,Imóveis para venda em construção,ALPHACASTELLO,não aplicavel,não aplicavel
34.895.711/0001-93,2019-12-31,1,Imóveis para venda em construção,"ALPHABURLEMARX LOTE A,B e C",não aplicavel,não aplicavel
01.235.622/0001-61,2020-03-31,1,Imóveis para renda em construção,,,
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Aretê - Toriba 1,,
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Tijuca All Ways,,
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Hub - Coliving,Atraso no início das obras em função de arqueologia.,Desembolso inferior em função do menor andamento físico.
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Costa Mare,,
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,The Gallery,Diferença pequena relativa a replanejamento de atividades.,
